puma,total,studio,one_bed,two_bed,three_bed,four_bed,five_bed+
"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA; New York",847,387,742,937,890,731,242
"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA; New York",1057,739,899,1200,1485,-,-
"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA; New York",1245,1077,1194,1313,1529,1892,-
"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA; New York",1193,1040,1119,1189,1689,1210,1339
"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA; New York",947,529,902,979,1191,1106,1557
"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA; New York",1089,886,1043,1171,1209,657,1093
"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA; New York",1101,909,1095,1120,1246,1300,-
"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA; New York",1188,980,1145,1318,1528,1715,-
"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA; New York",1298,1000,1248,1343,1602,2005,-
"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA; New York",1115,944,1040,1175,1434,1893,1794
"NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA, New York",1377,1089,1334,1463,1636,1828,1054
"NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA, New York",1267,1056,1143,1339,1552,1930,674
"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA; New York",1353,1092,1222,1428,1521,1522,1992
"NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA, New York",1027,726,871,1214,1200,1209,1436
"NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA, New York",1311,1084,1264,1410,1662,1984,1153
"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA; New York",1298,1080,1221,1491,1382,1764,-
"NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA, New York",861,648,818,982,942,1606,1655
"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA; New York",1220,999,1119,1332,1447,1715,-
"NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA, New York",1319,1104,1088,1342,1684,2533,1768
"NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA, New York",1606,1668,1681,1524,1609,1063,1798
"NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA, New York",1742,1674,2038,1248,1463,1766,-
"NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA, New York",1228,917,1153,1273,1384,1655,1154
"NYC-Brooklyn Community District 4--Bushwick PUMA, New York",1303,1203,1143,1283,1453,1668,1122
"NYC-Brooklyn Community District 5--East New York & Starrett City PUMA, New York",1103,779,1030,1089,1270,1565,1332
"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA; New York",2032,1548,1975,2125,2768,1806,-
"NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA, New York",1290,637,1098,1315,1455,1549,1158
"NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA, New York",1212,1025,1192,1225,1560,1162,2311
"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA; New York",1252,917,1173,1311,1692,1498,1582
"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA; New York",2653,2523,2704,2712,2749,3122,2699
"NYC-Manhattan Community District 10--Central Harlem PUMA, New York",1037,864,1012,1102,1104,907,1091
"NYC-Manhattan Community District 11--East Harlem PUMA, New York",784,788,942,730,548,1849,-
"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA; New York",1242,1033,1229,1262,1386,1509,656
"NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA, New York",1077,1568,1162,906,975,2736,-
"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA; New York",2191,1881,2539,1910,2913,550,-
"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA; New York",2443,2235,2515,3041,2469,-,-
"NYC-Manhattan Community District 7--Upper West Side & West Side PUMA, New York",1802,1622,2023,1661,1912,1948,-
"NYC-Manhattan Community District 8--Upper East Side PUMA, New York",2087,1788,2133,2384,2389,2115,2022
"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA; New York",1318,1395,1260,1193,1662,1558,1118
"NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA, New York",1419,1033,1126,1372,1670,2047,880
"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA; New York",1666,1291,1442,1717,1952,-,-
"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA; New York",1221,1073,1099,1219,1598,1629,2690
"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA; New York",1512,1172,1303,1492,1801,2122,-
"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA; New York",1122,952,1092,1158,1343,1822,-
"NYC-Queens Community District 1--Astoria & Long Island City PUMA, New York",1519,1234,1488,1620,1642,794,1145
"NYC-Queens Community District 2--Sunnyside & Woodside PUMA, New York",1585,1407,1473,1640,1860,701,-
"NYC-Queens Community District 3--Jackson Heights & North Corona PUMA, New York",1400,1168,1310,1458,1814,1546,-
"NYC-Queens Community District 4--Elmhurst & South Corona PUMA, New York",1432,1084,1350,1539,1708,2417,2802
"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA; New York",1423,1141,1211,1426,1626,1846,3064
"NYC-Queens Community District 6--Forest Hills & Rego Park PUMA, New York",1542,1342,1486,1709,1952,1180,1493
"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA; New York",1422,1193,1270,1513,1824,1801,2284
"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA; New York",1458,1172,1322,1565,1879,2295,-
"NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA, New York",1433,1097,1277,1490,1673,1719,2515
"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA; New York",1172,768,947,1339,1501,1422,-
"NYC-Staten Island Community District 2--New Springville & South Beach PUMA, New York",1308,942,1116,1238,1701,1412,-
"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA; New York",1177,853,1075,1411,1912,1685,-
