puma,total,white,african_american,asian,hispanic
"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA; New York",156357,5225,44344,512,105009
"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA; New York",113395,28956,32612,4037,45200
"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA; New York",120116,32126,23810,11242,50853
"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA; New York",150411,8194,101033,3395,34612
"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA; New York",188075,7179,61059,2490,116214
"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA; New York",149710,1968,41528,1466,103042
"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA; New York",148339,1487,36250,2664,105476
"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA; New York",143540,7344,16194,10146,106368
"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA; New York",113242,35662,13332,4639,55271
"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA; New York",187975,5719,56903,15493,104131
"NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA, New York",123488,62804,3778,34832,19493
"NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA, New York",205850,83260,3672,80024,31938
"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA; New York",146556,100969,2682,23066,17648
"NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA, New York",null,null,null,null,null
"NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA, New York",150707,66561,43498,13320,22634
"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA; New York",null,null,null,null,null
"NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA, New York",111511,4748,79536,2121,22100
"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA; New York",null,null,null,null,null
"NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA, New York",215637,48232,134105,10043,18901
"NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA, New York",152002,98101,5414,10658,32812
"NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA, New York",135444,63949,34890,12252,20151
"NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA, New York",142027,37795,69266,3812,27554
"NYC-Brooklyn Community District 4--Bushwick PUMA, New York",140474,30180,23924,7877,75673
"NYC-Brooklyn Community District 5--East New York & Starrett City PUMA, New York",176471,6880,93117,6702,67405
"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA; New York",116209,74220,7083,8320,19983
"NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA, New York",144332,32831,3529,47233,57578
"NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA, New York",141725,34217,78995,7908,16534
"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA; New York",113212,28896,68133,2054,11080
"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA; New York",148982,107577,3079,24640,8420
"NYC-Manhattan Community District 10--Central Harlem PUMA, New York",147442,21929,78105,6083,36491
"NYC-Manhattan Community District 11--East Harlem PUMA, New York",128316,15251,33887,10710,66560
"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA; New York",219998,44515,18261,5201,147135
"NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA, New York",160490,49829,10453,57928,37911
"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA; New York",152455,90463,10407,23849,23845
"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA; New York",null,null,null,null,null
"NYC-Manhattan Community District 7--Upper West Side & West Side PUMA, New York",207134,143189,11865,18006,27116
"NYC-Manhattan Community District 8--Upper East Side PUMA, New York",null,null,null,null,null
"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA; New York",136017,38711,30524,13880,49594
"NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA, New York",139323,30367,18500,37246,36184
"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA; New York",null,null,null,null,null
"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA; New York",249331,3602,147610,36371,41664
"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA; New York",208786,20057,112450,32700,30733
"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA; New York",133051,44007,52144,5094,27371
"NYC-Queens Community District 1--Astoria & Long Island City PUMA, New York",164321,78039,13464,27434,39913
"NYC-Queens Community District 2--Sunnyside & Woodside PUMA, New York",133822,39543,1631,48638,41351
"NYC-Queens Community District 3--Jackson Heights & North Corona PUMA, New York",170222,20925,8619,31904,106340
"NYC-Queens Community District 4--Elmhurst & South Corona PUMA, New York",146301,7984,7343,47864,81702
"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA; New York",199043,99693,1709,17624,76445
"NYC-Queens Community District 6--Forest Hills & Rego Park PUMA, New York",null,null,null,null,null
"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA; New York",260282,60550,5372,141962,48008
"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA; New York",164291,47921,19928,56555,32497
"NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA, New York",152283,26880,8286,39001,65331
"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA; New York",176632,67944,35165,15606,54913
"NYC-Staten Island Community District 2--New Springville & South Beach PUMA, New York",null,null,null,null,null
"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA; New York",null,null,null,null,null
